program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_15,8,6145.89,28,227,27139926215,5763988988,6232931,5725851254,10652513,4228,4007337304,3607200,5731686217,143778,27150529060,57217
ADD_15,9,6135.86,37,227,27130429047,5762837375,6232863,5726726569,12289382,650,4008684193,3574735,5730895028,138849,27144548465,55088
ADD_15,10,6146.35,19,227,27145082740,5765795742,6228755,5728547591,12370216,5046,4004679456,3570145,5728360383,137828,27143749224,55709
ADD_15,11,6138.57,22,226,27129110759,5761470446,6216101,5729556803,10387635,78,4007102076,3184052,5728800799,140148,27134580175,86390
ADD_15,12,6155.66,34,225,27139391536,5761986859,6214831,5725638337,13823160,5343,4008503059,3417907,5731521490,141778,27153202479,58744
ADD_15,13,6151.19,37,224,27125129786,5761691646,6227602,5726481843,11056926,4315,4006604796,3669120,5732518794,143111,27142599711,88264
ADD_15,14,6152.54,29,222,27139322270,5763097646,6216225,5726166221,8833001,6559,4007808705,3460910,5732297790,142558,27155136472,71727
ADD_15,15,6152.99,34,226,27134875873,5763414821,6217802,5727582675,9672158,3691,4006778088,3603192,5729322517,141215,27144141752,55996
ADD_15,16,6163.29,21,226,27143619761,5762048769,6205412,5724952160,10110187,728,4007202801,3743583,5732422647,142571,27154563787,59313
ADD_15,17,6156.49,22,221,27127446723,5761629856,6218005,5727408937,10550019,3547,4006562625,3488391,5730769797,138324,27147684717,56304
ADD_15,18,6177.42,21,226,27128700565,5762152394,6219551,5727478921,10769712,249,4007233623,3480706,5729317028,138585,27144303298,57282
ADD_15,19,6151.82,24,224,27145679553,5764168008,6209747,5725040393,8864074,2994,4005505431,3542343,5731683135,138355,27161905819,58338
ADD_35,0,6459.84,39,228,28910931092,6100546125,6244361,6186028453,15293556,4921,4226332268,3951042,6192930890,149231,28931018679,91387
ADD_35,1,6452.24,22,223,28914237388,6100552087,6229801,6187741107,13163260,1668,4225471092,3578317,6189412033,147267,28921537365,59779
ADD_35,2,6461.74,32,221,28904914425,6100859269,6225096,6186417073,12796002,3421,4225970557,3620544,6191480818,152570,28921771443,67358
ADD_35,3,6460.95,33,226,28913426591,6102584359,6230624,6186673616,15027882,4592,4224221859,3521303,6190692886,147902,28925482658,62829
ADD_35,4,6472.43,23,225,28903209449,6099728915,6217316,6186348831,13299290,3025,4225306206,3825007,6192542255,141377,28928584225,59854
ADD_35,5,6489.81,29,225,28918627362,6100445170,6237914,6185563673,11708743,769,4225283399,3789709,6192113216,152472,28932062027,92501
ADD_35,6,6472.83,39,226,28905370193,6100056041,6228748,6187787406,13389705,4036,4226300227,3607569,6189756331,150289,28918452428,91184
ADD_35,7,6482.40,20,225,28900738526,6099679737,6233421,6187627268,16210183,434,4228002574,3821115,6189329165,149417,28915108784,56276
ADD_35,8,6460.25,29,223,28901664229,6098967218,6220809,6186045838,12482715,3202,4228546531,3518856,6192468906,143952,28925191587,59275
ADD_35,9,6457.86,26,226,28898386905,6098809384,6218865,6187970958,12420454,58,4227357711,3254735,6191435768,145445,28915298902,89603
ADD_35,10,6466.13,33,226,28902580713,6100305968,6235049,6186867229,14748672,3212,4227256418,3629016,6192062219,149096,28918378913,61145
ADD_35,11,6472.13,36,227,28910844735,6100652538,6226779,6187749409,15065786,1812,4227391143,3638622,6189157485,147271,28915525457,58719
ADD_35,12,6460.49,39,227,28914853408,6100816023,6230912,6185459018,13315610,3795,4225837101,3590810,6192751956,146989,28928824245,58522
ADD_35,13,6479.17,42,224,28914254243,6102211354,6229612,6186607979,12999404,706,4223231524,3954936,6191457219,146527,28930307362,59201
ADD_35,14,6468.42,21,222,28918404705,6101764566,6234027,6188642448,11728880,3847,4225037837,3557802,6188953418,149530,28921274464,57797
ADD_35,15,6469.19,30,226,28910416492,6101411117,6228219,6188415883,13447541,3503,4225527537,3781781,6190067342,152118,28916527907,61411
ADD_35,16,6472.23,19,225,28903918081,6100064374,6217716,6187035427,14108817,3169,4227489973,3682886,6190070912,147107,28920070862,94258
ADD_35,17,6449.33,30,221,28917907506,6102743121,6223290,6185492233,12452844,461,4226372691,3739571,6191032229,149566,28930149789,59634
ADD_35,18,6454.22,16,226,28915214905,6100247229,6227210,6186355759,14502731,793,4226099147,4213878,6191684793,145655,28924911214,56608
ADD_35,19,6472.31,34,227,28909871608,6100900369,6229577,6188339511,12545138,4512,4225708378,3665791,6189730247,145757,28922251935,60527
