program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns
DIV_35,3,824,1206950,46.11
DIV_35,4,830,1242300,51.65
DIV_35,5,829,1186750,50.0
DIV_35,6,826,1186750,45.7
DIV_35,7,836,1217050,47.85
DIV_35,8,838,1247350,43.67
DIV_35,9,820,1201900,45.74
DIV_35,10,836,1227150,48.43
DIV_20,1,747,1343300,42.35
DIV_20,2,733,1328150,28.35
DIV_20,3,759,1348350,47.62
DIV_20,4,741,1333200,41.71
DIV_20,5,739,1292800,33.54
DIV_20,6,730,1272600,27.83
DIV_20,7,741,1287750,46.21
DIV_20,8,755,1358450,46.84
DIV_20,9,747,1323100,40.68
DIV_20,10,757,1313000,41.25
DIV_0,1,620,1545300,50.83
DIV_0,2,625,1509950,38.04
DIV_0,3,629,1575600,49.66
DIV_0,4,604,1504900,32.76
DIV_0,5,668,1525100,30.09
DIV_0,6,606,1494800,35.32
DIV_0,7,623,1570550,59.27
DIV_0,8,632,1600850,49.13
DIV_0,9,659,1459450,39.1
DIV_0,10,622,1565500,54.48
DIV_50,1,891,1126150,51.29
DIV_50,2,904,1085750,52.97
DIV_50,3,909,1111000,49.55
DIV_50,4,909,1146350,58.51
DIV_50,5,915,1126150,40.68
DIV_50,6,910,1090800,58.33
DIV_50,7,906,1116050,50.45
DIV_50,8,901,1131200,48.86
DIV_50,9,900,1121100,51.03
DIV_50,10,876,1156450,56.03
DIV_30,1,814,1257450,44.3
DIV_30,2,803,1247350,46.15
DIV_30,3,827,1232200,45.55
DIV_30,4,790,1232200,32.4
DIV_30,5,794,1217050,37.31
DIV_30,6,799,1237250,40.1
DIV_30,7,808,1222100,40.83
DIV_30,8,797,1242300,39.98
DIV_30,9,817,1232200,49.84
DIV_30,10,800,1282700,46.61
SDIV_40,1,987,994850,42.05
SDIV_40,2,1002,994850,42.2
SDIV_40,3,971,1020100,49.05
SDIV_40,4,1027,999900,48.11
SDIV_40,5,997,1030200,39.98
SDIV_40,6,997,999900,41.7
SDIV_40,7,994,1020100,49.07
SDIV_40,8,971,1030200,32.66
SDIV_40,9,987,1035250,52.72
SDIV_40,10,974,1004950,41.01
SDIV_45,1,1041,944350,30.33
SDIV_45,2,1050,979700,43.98
SDIV_45,3,1043,989800,42.25
SDIV_45,4,1044,979700,45.91
SDIV_45,5,1058,964550,49.36
SDIV_45,6,1042,974650,48.86
SDIV_45,7,1048,984750,43.45
SDIV_45,8,1052,964550,48.22
SDIV_45,9,1049,939300,49.38
SDIV_45,10,1053,964550,51.61
SDIV_5,1,684,1454400,51.66
SDIV_5,2,672,1434200,45.28
SDIV_5,3,698,1494800,49.13
SDIV_5,4,683,1439250,46.84
SDIV_5,5,678,1515000,45.38
SDIV_5,6,659,1474600,35.95
SDIV_5,7,680,1474600,40.02
SDIV_5,8,672,1479650,41.91
SDIV_5,9,670,1499850,45.29
SDIV_5,10,677,1449350,52.7
SDIV_10,1,737,1338250,41.87
SDIV_10,2,733,1302900,47.92
SDIV_10,3,752,1323100,41.93
SDIV_10,4,707,1363500,36.39
SDIV_10,5,708,1353400,23.3
SDIV_10,6,716,1348350,35.69
SDIV_10,7,713,1338250,34.95
SDIV_10,8,759,1348350,47.21
SDIV_10,9,756,1373600,49.25
SDIV_10,10,739,1383700,47.71
SDIV_25,1,873,1151400,50.67
SDIV_25,2,841,1161500,35.11
SDIV_25,3,841,1196850,49.81
SDIV_25,4,865,1156450,45.14
SDIV_25,5,868,1161500,47.33
SDIV_25,6,829,1156450,35.38
SDIV_25,7,877,1171600,47.07
SDIV_25,8,865,1206950,47.47
SDIV_25,9,868,1161500,49.08
SDIV_25,10,862,1166550,42.41
SDIV_15,1,756,1272600,34.21
SDIV_15,2,781,1292800,46.09
SDIV_15,3,773,1272600,49.05
SDIV_15,4,802,1272600,44.97
SDIV_15,5,774,1318050,44.04
SDIV_15,6,788,1302900,46.73
SDIV_15,7,772,1257450,41.79
SDIV_15,8,779,1307950,40.83
SDIV_15,9,797,1287750,51.24
SDIV_15,10,772,1272600,44.67
SDIV_35,1,957,1030200,42.19
SDIV_35,2,935,1045350,35.9
SDIV_35,3,952,1040300,48.48
SDIV_35,4,919,1045350,34.48
SDIV_35,5,950,1070600,47.23
SDIV_35,6,945,1060500,47.13
SDIV_35,7,942,1095850,52.63
SDIV_35,8,930,1075650,56.97
SDIV_35,9,956,1030200,32.86
SDIV_35,10,955,1075650,44.88
SDIV_20,1,815,1201900,29.12
SDIV_20,2,797,1242300,48.11
SDIV_20,3,807,1242300,49.19
SDIV_20,4,803,1242300,27.76
SDIV_20,5,825,1222100,39.71
SDIV_20,6,819,1262500,50.23
SDIV_20,7,812,1201900,53.41
SDIV_20,8,822,1201900,42.38
SDIV_20,9,819,1206950,44.29
SDIV_20,10,813,1206950,39.71
SDIV_0,1,623,1545300,54.77
SDIV_0,2,640,1484700,43.87
SDIV_0,3,632,1590750,56.68
SDIV_0,4,612,1489750,34.0
SDIV_0,5,662,1494800,41.08
SDIV_0,6,635,1535200,54.27
SDIV_0,7,614,1504900,31.75
SDIV_0,8,608,1504900,36.42
SDIV_0,9,629,1570550,51.81
SDIV_0,10,618,1580650,48.46
SDIV_50,1,1063,959500,49.85
SDIV_50,2,1089,949400,41.41
SDIV_50,3,1078,974650,49.33
SDIV_50,4,1048,964550,36.07
SDIV_50,5,1085,954450,46.15
SDIV_50,6,1061,954450,51.47
SDIV_50,7,1073,969600,45.94
SDIV_50,8,1072,924150,33.74
SDIV_50,9,1079,954450,45.31
SDIV_50,10,1051,949400,51.37
SDIV_30,1,909,1100900,56.28
SDIV_30,2,900,1095850,45.56
SDIV_30,3,894,1090800,48.82
SDIV_30,4,904,1105950,44.93
SDIV_30,5,899,1095850,42.19
SDIV_30,6,912,1105950,48.45
SDIV_30,7,910,1116050,54.31
SDIV_30,8,890,1141300,50.17
SDIV_30,9,904,1105950,41.88
SDIV_30,10,896,1090800,43.87
MOD_40,1,856,1141300,46.55
MOD_40,2,860,1161500,41.17
MOD_40,3,867,1166550,40.23
MOD_40,4,846,1156450,39.04
MOD_40,5,855,1146350,44.76
MOD_40,6,864,1176650,41.36
MOD_40,7,846,1131200,33.1
MOD_40,8,866,1161500,42.26
MOD_40,9,869,1141300,37.52
MOD_40,10,851,1161500,35.04
MOD_45,1,886,1131200,43.25
MOD_45,2,890,1141300,41.36
MOD_45,3,879,1111000,42.59
MOD_45,4,868,1126150,32.67
MOD_45,5,887,1131200,38.8
MOD_45,6,886,1136250,44.08
MOD_45,7,890,1126150,45.69
MOD_45,8,888,1116050,38.68
MOD_45,9,902,1146350,47.75
MOD_45,10,886,1136250,40.37
MOD_5,1,670,1408950,33.48
MOD_5,2,677,1469550,48.8
MOD_5,3,663,1504900,48.28
MOD_5,4,664,1449350,43.92
MOD_5,5,652,1439250,37.44
MOD_5,6,662,1520050,38.42
MOD_5,7,666,1403900,43.15
MOD_5,8,674,1479650,40.72
MOD_5,9,654,1504900,30.84
MOD_5,10,657,1469550,36.17
MOD_10,1,737,1338250,47.47
MOD_10,2,731,1373600,37.52
MOD_10,3,730,1358450,33.05
MOD_10,4,733,1383700,34.86
MOD_10,5,726,1358450,34.14
MOD_10,6,740,1318050,35.25
MOD_10,7,727,1368550,35.83
