program_id,sample_id,total_time_ns,iterations_count,margin_of_error
DIV_30,4,88083.32765606088,1136,±3.93%
DIV_30,5,89718.55950462444,1115,±4.99%
DIV_30,6,89295.61887468612,1120,±5.03%
DIV_30,7,92951.71432778737,1076,±5.79%
DIV_30,8,85782.48457475142,1166,±3.71%
DIV_30,9,88152.96189900537,1135,±4.79%
DIV_30,10,89174.01563675009,1122,±5.04%
SDIV_40,1,91273.77419576158,1096,±4.84%
SDIV_40,2,91091.26718100737,1098,±4.88%
SDIV_40,3,91185.82100463979,1097,±4.76%
SDIV_40,4,92469.23478385658,1082,±4.72%
SDIV_40,5,89990.44432056895,1112,±4.59%
SDIV_40,6,90244.45488175581,1109,±4.58%
SDIV_40,7,93858.90853337901,1066,±5.13%
SDIV_40,8,88690.72393322668,1128,±3.71%
SDIV_40,9,90896.7519650992,1101,±4.79%
SDIV_40,10,91415.78883531979,1094,±4.91%
SDIV_45,1,91412.31585682201,1094,±4.76%
SDIV_45,2,90258.27814095287,1108,±4.55%
SDIV_45,3,92062.81590044992,1087,±4.91%
SDIV_45,4,93392.38726903521,1071,±5.43%
SDIV_45,5,89401.96783016364,1119,±4.40%
SDIV_45,6,92253.76834535993,1087,±5.10%
SDIV_45,7,90555.29978480274,1105,±4.63%
SDIV_45,8,92449.23053960042,1082,±4.20%
SDIV_45,9,91074.90976110141,1101,±4.78%
SDIV_45,10,91364.65412296662,1095,±4.84%
SDIV_5,1,85365.87477544062,1172,±5.30%
SDIV_5,2,86328.01440998436,1159,±5.26%
SDIV_5,3,85825.99044459558,1166,±4.76%
SDIV_5,4,82959.40443453306,1206,±4.60%
SDIV_5,5,82645.01057473078,1213,±4.40%
SDIV_5,6,86174.7012273902,1161,±5.27%
SDIV_5,7,81861.30554898476,1222,±4.22%
SDIV_5,8,82783.55377399368,1208,±4.56%
SDIV_5,9,84118.87435977254,1189,±4.88%
SDIV_5,10,85296.59183433904,1173,±4.53%
SDIV_10,1,85192.46427935678,1174,±5.34%
SDIV_10,2,84568.68472385487,1183,±5.19%
SDIV_10,3,86438.09906243249,1157,±4.95%
SDIV_10,4,83945.38316150638,1192,±5.13%
SDIV_10,5,84056.62344283417,1190,±5.02%
SDIV_10,6,86842.48394436305,1152,±5.94%
SDIV_10,7,83272.44005036492,1201,±4.66%
SDIV_10,8,84048.73759806657,1190,±5.00%
SDIV_10,9,85206.54031730795,1174,±5.25%
SDIV_10,10,86715.53296067685,1154,±5.35%
SDIV_25,1,87841.29851946609,1139,±5.10%
SDIV_25,2,87804.13850398827,1143,±4.92%
SDIV_25,3,87937.8025477297,1138,±4.44%
SDIV_25,4,87445.65256825695,1144,±4.92%
SDIV_25,5,85767.55294668941,1166,±4.56%
SDIV_25,6,90059.72847650974,1111,±6.29%
SDIV_25,7,85263.32299117847,1173,±3.43%
SDIV_25,8,86979.10474694293,1150,±5.01%
SDIV_25,9,87190.38360515884,1147,±4.80%
SDIV_25,10,92142.66360793984,1086,±5.81%
SDIV_15,1,86283.12671256538,1159,±5.32%
SDIV_15,2,85193.38058653643,1174,±5.01%
SDIV_15,3,87889.9746913273,1138,±5.58%
SDIV_15,4,85718.35267002396,1167,±5.20%
SDIV_15,5,83666.48568756206,1196,±4.76%
SDIV_15,6,87330.19621475883,1150,±5.53%
SDIV_15,7,83820.55689600222,1195,±3.54%
SDIV_15,8,83599.39970368629,1197,±4.74%
SDIV_15,9,84087.18986990063,1195,±4.79%
SDIV_15,10,87846.38254971124,1139,±6.35%
SDIV_35,1,89857.68844781445,1121,±4.98%
SDIV_35,2,88950.46657986111,1125,±4.70%
SDIV_35,3,90847.52470011283,1101,±5.10%
SDIV_35,4,90440.96741495252,1106,±4.30%
SDIV_35,5,88615.94457769944,1129,±4.51%
SDIV_35,6,88943.29155815972,1125,±4.66%
SDIV_35,7,93550.77930875088,1069,±6.32%
SDIV_35,8,86641.14155294576,1155,±3.39%
SDIV_35,9,90364.23046522132,1107,±5.17%
SDIV_35,10,89540.50035058332,1117,±4.68%
SDIV_20,1,85022.43288310787,1177,±5.06%
SDIV_20,2,85456.58101799343,1171,±4.97%
SDIV_20,3,87075.56795098659,1149,±4.84%
SDIV_20,4,83573.1844157105,1197,±4.72%
